STATEFP,COUNTYFP,FIPS,YEAR
21,195,21195,2007
21,235,21235,2007
37,35,37035,2007
42,7,42007,2007
42,23,42023,2007
47,25,47025,2007
47,129,47129,2007
47,145,47145,2007
47,151,47151,2007
51,169,51169,2007
54,45,54045,2007
54,49,54049,2007
54,87,54087,2007
36,83,36083,2009
42,33,42033,2009
42,51,42051,2009
42,83,42083,2009
54,43,54043,2009
13,11,13011,2010
13,139,13139,2010
13,213,13213,2010
13,227,13227,2010
21,25,21025,2010
21,71,21071,2010
21,125,21125,2010
21,147,21147,2010
21,189,21189,2010
21,237,21237,2010
23,5,23005,2010
23,5,23005,2010
23,5,23005,2010
23,5,23005,2010
23,15,23015,2010
23,15,23015,2010
23,15,23015,2010
23,15,23015,2010
23,15,23015,2010
23,23,23023,2010
23,23,23023,2010
33,5,33005,2010
36,7,36007,2010
36,15,36015,2010
36,107,36107,2010
37,97,37097,2010
47,35,47035,2010
47,107,47107,2010
54,41,54041,2010
54,91,54091,2010
54,105,54105,2010
21,205,21205,2011
36,95,36095,2011
47,137,47137,2011
54,99,54099,2011
