"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alabama","Alabama","Wood prods.","Truck","9292.3561","930.48319136","1944.4138"
"Alabama","Alabama","Nonmetal min. prods.","Truck","7712.2099","657.09158842","1971.4729"
"Alabama","Alabama","Machinery","Truck","964.4436","81.88107119","7385.6613"
"Alabama","Alaska","Nonmetal min. prods.","Truck","173.5140","737.90259698","23.7624"
"Alabama","Arizona","Wood prods.","Truck","6.9250","11.77255496","4.2883"
"Alabama","Arizona","Nonmetal min. prods.","Truck","2.0880","3.54807997","3.5857"
"Alabama","Arizona","Machinery","Truck","0.5710","0.97471270","2.8440"
"Alabama","Arkansas","Wood prods.","Truck","70.0159","32.69516902","12.9060"
"Alabama","Arkansas","Nonmetal min. prods.","Truck","12.6382","6.00848349","3.2930"
"Alabama","Arkansas","Machinery","Truck","4.1368","1.90667644","36.5999"
"Alabama","California","Wood prods.","Truck","50.4110","105.69426928","6.6746"
"Alabama","California","Nonmetal min. prods.","Truck","36.8980","75.40320214","4.7725"
"Alabama","California","Machinery","Truck","0.4780","1.11408000","15.6159"
"Alabama","Colorado","Nonmetal min. prods.","Truck","4.3150","5.89205330","21.1922"
"Alabama","Colorado","Machinery","Truck","1.1900","1.62350093","37.2140"
"Alabama","Connecticut","Wood prods.","Truck","9.9980","11.23679207","10.6237"
"Alabama","Connecticut","Nonmetal min. prods.","Truck","55.9820","62.36304759","2.2758"
"Alabama","Delaware","Nonmetal min. prods.","Truck","0.6690","0.60133253","0.5462"
"Alabama","Washington DC","Wood prods.","Truck","0.0380","0.02991535","0.0161"
"Alabama","Florida","Wood prods.","Truck","495.4282","258.97860130","385.0514"
"Alabama","Florida","Nonmetal min. prods.","Truck","1435.9291","796.98946283","253.1831"
"Alabama","Florida","Machinery","Truck","67.0400","34.99255011","485.5249"
"Alabama","Georgia","Wood prods.","Truck","748.0840","178.26537501","444.0422"
"Alabama","Georgia","Nonmetal min. prods.","Truck","1044.8479","237.08240786","210.3561"
"Alabama","Georgia","Machinery","Truck","257.7227","56.17786060","1854.8466"
"Alabama","Illinois","Wood prods.","Truck","19.1324","13.51427504","6.9548"
"Alabama","Illinois","Nonmetal min. prods.","Truck","62.1019","44.43445179","22.0063"
"Alabama","Illinois","Machinery","Truck","3.5083","2.42078712","63.8829"
"Alabama","Indiana","Wood prods.","Truck","37.3977","21.57809811","16.3721"
