"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alaska","Michigan","Other ag prods.","Truck","0.0066","0.0250591","0.0034"
"Alaska","Minnesota","Other ag prods.","Truck","0.0091","0.02872658","0.0046"
"Alaska","Mississippi","Other ag prods.","Truck","0.0011","0.00460106","0.0006"
"Alaska","Missouri","Other ag prods.","Truck","0.0049","0.01806366","0.0025"
"Alaska","Montana","Other ag prods.","Truck","0.0036","0.00891345","0.0019"
"Alaska","Nebraska","Other ag prods.","Truck","0.0022","0.0073722","0.0011"
"Alaska","Nevada","Other ag prods.","Truck","0.0041","0.01353645","0.0021"
"Alaska","New Hampshire","Other ag prods.","Truck","0.0005","0.00227606","0.0003"
"Alaska","New Jersey","Other ag prods.","Truck","0.0039","0.01700069","0.002"
"Alaska","New Mexico","Other ag prods.","Truck","0.0014","0.00504003","0.0007"
"Alaska","New York","Other ag prods.","Truck","0.0082","0.03549162","0.0041"
"Alaska","North Carolina","Other ag prods.","Truck","0.0037","0.01611359","0.002"
"Alaska","North Dakota","Other ag prods.","Truck","0.0017","0.00479134","0.0008"
"Alaska","Ohio","Other ag prods.","Truck","0.0077","0.03005172","0.0039"
"Alaska","Oklahoma","Other ag prods.","Truck","0.0024","0.00921819","0.0011"
"Alaska","Oregon","Other ag prods.","Truck","0.0165","0.041735","0.0084"
"Alaska","Pennsylvania","Other ag prods.","Truck","0.0064","0.02692195","0.0032"
"Alaska","Rhode Island","Other ag prods.","Truck","0.0004","0.00181863","0.0002"
"Alaska","South Carolina","Other ag prods.","Truck","0.0017","0.00744324","0.0009"
"Alaska","South Dakota","Other ag prods.","Truck","0.0013","0.00401886","0.0007"
"Alaska","Tennessee","Other ag prods.","Truck","0.0035","0.01420047","0.0017"
"Alaska","Texas","Other ag prods.","Truck","0.0121","0.04962099","0.006"
"Alaska","Utah","Other ag prods.","Truck","0.0051","0.01533564","0.0026"
"Alaska","Vermont","Other ag prods.","Truck","0.0003","0.0013455","0.0001"
"Alaska","Virginia","Other ag prods.","Truck","0.0035","0.01513055","0.0018"
