"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Alabama","Logs","Truck","76962.0129","6748.71304653","2052.1049"
"Alabama","Arizona","Logs","Truck","0.0001","0.00017134","0"
"Alabama","Arkansas","Logs","Truck","23.0336","10.58076794","8.9721"
"Alabama","California","Logs","Truck","0.0001","0.00020508","0"
"Alabama","Colorado","Logs","Truck","0.0002","0.000276","0"
"Alabama","Connecticut","Logs","Truck","0.0003","0.00033145","0"
"Alabama","Delaware","Logs","Truck","0.0002","0.0001754","0"
"Alabama","Washington DC","Logs","Truck","0.0003","0.00022434","0"
"Alabama","Florida","Logs","Truck","148.1957","70.76546658","2.2628"
"Alabama","Georgia","Logs","Truck","179.8905","45.4685164","7.156"
"Alabama","Idaho","Logs","Truck","0","0","0"
"Alabama","Illinois","Logs","Truck","44.0927","28.16490102","18.0606"
"Alabama","Indiana","Logs","Truck","0.016","0.00896162","0.0008"
"Alabama","Iowa","Logs","Truck","0.085","0.084623","0.0358"
"Alabama","Kansas","Logs","Truck","2.9825","2.56627138","0.9962"
"Alabama","Kentucky","Logs","Truck","192.1616","77.62453569","58.0659"
"Alabama","Louisiana","Logs","Truck","6.9686","3.66802093","3.0141"
"Alabama","Maine","Logs","Truck","0","0","0"
"Alabama","Maryland","Logs","Truck","0.0031","0.00248249","0.0002"
"Alabama","Massachusetts","Logs","Truck","0.0005","0.00060671","0"
"Alabama","Michigan","Logs","Truck","0.0033","0.00262088","0.0001"
"Alabama","Minnesota","Logs","Truck","0.0007","0.00076479","0"
"Alabama","Mississippi","Logs","Truck","2377.9523","561.47944875","89.2597"
"Alabama","Missouri","Logs","Truck","74.5536","44.44930941","19.5769"
"Alabama","Montana","Logs","Truck","0","0","0"
"Alabama","Nebraska","Logs","Truck","0.0004","0.00039106","0"
"Alabama","Nevada","Logs","Truck","0","0","0"
"Alabama","New Hampshire","Logs","Truck","0.0001","0.00012551","0"
"Alabama","New Jersey","Logs","Truck","0.0015","0.00146652","0"
"Alabama","New Mexico","Logs","Truck","0.0001","0.00012763","0"
"Alabama","New York","Logs","Truck","0.0023","0.00237241","0.0001"
"Alabama","North Carolina","Logs","Truck","0.037","0.01849278","0.0019"
"Alabama","North Dakota","Logs","Truck","0","0","0"
"Alabama","Ohio","Logs","Truck","21.961","14.99531109","9.0007"
"Alabama","Oklahoma","Logs","Truck","0.0023","0.00165829","0"
"Alabama","Oregon","Logs","Truck","5.0133","13.32809434","1.9885"
"Alabama","Pennsylvania","Logs","Truck","0.0038","0.00324618","0.0002"
"Alabama","Rhode Island","Logs","Truck","0.0001","0.00011896","0"
"Alabama","South Carolina","Logs","Truck","0.0381","0.01473955","0.0021"
"Alabama","South Dakota","Logs","Truck","0","0","0"
"Alabama","Tennessee","Logs","Truck","632.63","173.64026123","59.1396"
"Alabama","Texas","Logs","Truck","0.027","0.01773691","0.0014"
"Alabama","Utah","Logs","Truck","0","0","0"
"Alabama","Vermont","Logs","Truck","0","0","0"
"Alabama","Virginia","Logs","Truck","0.0081","0.00545795","0.0004"
"Alabama","Washington","Logs","Truck","4.9681","13.5388617","1.9904"
"Alabama","West Virginia","Logs","Truck","8.0575","5.18620447","3.9813"
"Alabama","Wisconsin","Logs","Truck","0.0018","0.00158432","0"
"Alabama","Wyoming","Logs","Truck","0","0","0"
"Alaska","Alabama","Logs","Truck","0.0003","0.00127567","0"
"Alaska","Alaska","Logs","Truck","1397.9089","291.96341598","50.1739"
"Alaska","Arizona","Logs","Truck","0.0011","0.00401675","0"
"Alaska","Arkansas","Logs","Truck","0.0003","0.00117801","0"
"Alaska","California","Logs","Truck","0.0088","0.02883283","0.0006"
"Alaska","Colorado","Logs","Truck","0.0015","0.0048301","0.0001"
"Alaska","Connecticut","Logs","Truck","0.0002","0.00089435","0"
"Alaska","Delaware","Logs","Truck","0.0001","0.00043294","0"
"Alaska","Washington DC","Logs","Truck","0.0001","0.00042749","0"
"Alaska","Florida","Logs","Truck","0.0009","0.00426073","0"
"Alaska","Georgia","Logs","Truck","0.0007","0.0030015","0"
"Alaska","Idaho","Logs","Truck","0.0013","0.00354615","0.0001"
"Alaska","Illinois","Logs","Truck","0.002","0.00718256","0.0001"
"Alaska","Indiana","Logs","Truck","0.0009","0.00337192","0"
"Alaska","Iowa","Logs","Truck","0.0006","0.00204072","0"
