"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Alabama","Other ag prods.","Truck","5003.3030","463.89525824","1977.3884"
"Alabama","Arizona","Other ag prods.","Truck","0.2850","0.47152449","7.3892"
"Alabama","Arkansas","Other ag prods.","Truck","1.7246","0.79188268","9.6122"
"Alabama","Colorado","Other ag prods.","Truck","0.0460","0.06248813","1.1300"
"Alabama","Connecticut","Other ag prods.","Truck","0.0920","0.10166327","2.1750"
"Alabama","Delaware","Other ag prods.","Truck","0.2380","0.21096140","5.8708"
"Alabama","Florida","Other ag prods.","Truck","46.4274","23.98759022","32.2962"
"Alabama","Georgia","Other ag prods.","Truck","351.0947","82.14377654","197.5499"
"Alabama","Illinois","Other ag prods.","Truck","0.4010","0.25268495","8.8105"
"Alabama","Indiana","Other ag prods.","Truck","0.4188","0.24685787","3.2311"
"Alabama","Iowa","Other ag prods.","Truck","0.0190","0.01600970","0.4979"
"Alabama","Kentucky","Other ag prods.","Truck","4.2960","1.83796652","11.2827"
"Alabama","Louisiana","Other ag prods.","Truck","13.3667","5.14867957","8.4006"
"Alabama","Maryland","Other ag prods.","Truck","0.2941","0.23530159","6.0218"
"Alabama","Michigan","Other ag prods.","Truck","0.0620","0.04852747","1.8188"
"Alabama","Mississippi","Other ag prods.","Truck","314.1028","71.22139706","139.8360"
"Alabama","Missouri","Other ag prods.","Truck","0.4468","0.27539631","8.5262"
"Alabama","New Jersey","Other ag prods.","Truck","0.0240","0.02270656","0.5677"
"Alabama","North Carolina","Other ag prods.","Truck","0.7350","0.38249597","9.2665"
"Alabama","Ohio","Other ag prods.","Truck","0.3410","0.21156809","8.9123"
"Alabama","South Carolina","Other ag prods.","Truck","2.6427","0.99181758","7.5371"
"Alabama","Tennessee","Other ag prods.","Truck","106.7142","30.74269580","84.5067"
"Alabama","Texas","Other ag prods.","Truck","0.2740","0.20341163","7.1066"
"Alabama","Virginia","Other ag prods.","Truck","0.3380","0.23425059","7.1296"
"Alabama","Wisconsin","Other ag prods.","Truck","0.0080","0.00672708","0.2298"
"Alaska","Alaska","Other ag prods.","Truck","101.4822","33.44409207","60.6052"
"Alaska","Ohio","Other ag prods.","Truck","0.0260","0.10096888","0.0182"
"Arizona","Alabama","Other ag prods.","Truck","0.3510","0.59870658","0.4360"
"Arizona","Arizona","Other ag prods.","Truck","2956.7527","268.79181938","1826.3150"
"Arizona","California","Other ag prods.","Truck","73.9600","32.61915026","24.7303"
"Arizona","Colorado","Other ag prods.","Truck","0.5348","0.42723173","0.5230"
"Arizona","Florida","Other ag prods.","Truck","0.3250","0.70643023","0.4076"
"Arizona","Georgia","Other ag prods.","Truck","0.3210","0.61386367","0.4618"
"Arizona","Illinois","Other ag prods.","Truck","0.3350","0.55613984","0.4283"
"Arizona","Indiana","Other ag prods.","Truck","0.3300","0.59699294","0.4257"
"Arizona","Iowa","Other ag prods.","Truck","4.7760","7.64406370","0.4334"
"Arizona","Kansas","Other ag prods.","Truck","0.3400","0.38000889","0.4386"
"Arizona","Kentucky","Other ag prods.","Truck","0.3400","0.61098217","0.4438"
"Arizona","Maryland","Other ag prods.","Truck","0.3030","0.70391274","0.4476"
"Arizona","Michigan","Other ag prods.","Truck","0.2750","0.55063822","0.4193"
"Arizona","Mississippi","Other ag prods.","Truck","0.3690","0.56509111","0.4309"
"Arizona","Montana","Other ag prods.","Truck","0.0110","0.01331047","0.1535"
"Arizona","Nevada","Other ag prods.","Truck","14.3886","4.33856100","8.3005"
"Arizona","New Jersey","Other ag prods.","Truck","1.0760","2.62168699","0.4630"
"Arizona","New Mexico","Other ag prods.","Truck","8.9278","3.96085411","4.7700"
"Arizona","North Carolina","Other ag prods.","Truck","0.3480","0.74798256","0.4515"
"Arizona","North Dakota","Other ag prods.","Truck","0.0480","0.07924837","0.1109"
"Arizona","Ohio","Other ag prods.","Truck","0.3520","0.68297973","0.4000"
"Arizona","Oklahoma","Other ag prods.","Truck","0.3450","0.35496880","0.4437"
"Arizona","Oregon","Other ag prods.","Truck","0.3260","0.41645056","0.4374"
"Arizona","South Dakota","Other ag prods.","Truck","0.0160","0.02269932","0.0052"
"Arizona","Tennessee","Other ag prods.","Truck","0.3490","0.57693467","0.4334"
"Arizona","Texas","Other ag prods.","Truck","0.4570","0.48439283","0.4882"
"Arizona","Utah","Other ag prods.","Truck","0.7711","0.47288360","0.6211"
"Arizona","Washington","Other ag prods.","Truck","0.2230","0.32213100","0.3263"
"Arizona","Wyoming","Other ag prods.","Truck","0.0920","0.08869858","0.0013"
"Arkansas","Alabama","Other ag prods.","Truck","24.1997","10.62602829","16.5979"
"Arkansas","Arkansas","Other ag prods.","Truck","2874.5990","272.82337578","1693.2389"
"Arkansas","California","Other ag prods.","Truck","0.0500","0.09145962","0.1070"
"Arkansas","Delaware","Other ag prods.","Truck","0.0580","0.06782819","0.1871"
"Arkansas","Washington DC","Other ag prods.","Truck","0.0290","0.03041360","0.3612"
"Arkansas","Florida","Other ag prods.","Truck","10.9150","10.67003084","0.4129"
"Arkansas","Georgia","Other ag prods.","Truck","0.8130","0.50697857","0.4463"
"Arkansas","Idaho","Other ag prods.","Truck","0.0400","0.07004593","0.0039"
"Arkansas","Illinois","Other ag prods.","Truck","1.4504","0.70787403","3.6156"
"Arkansas","Indiana","Other ag prods.","Truck","0.0801","0.05003876","0.0715"
"Arkansas","Iowa","Other ag prods.","Truck","23.9090","14.40608005","0.4592"
"Arkansas","Kansas","Other ag prods.","Truck","7.6470","3.16492018","1.5721"
"Arkansas","Kentucky","Other ag prods.","Truck","17.2988","9.51383213","7.3141"
