"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Alabama","Truck","184865.4594","17665.58110866","65036.5530"
"Alabama","Alaska","Truck","0.8570","3.60252504","0.5780"
"Alabama","Arizona","Truck","63.7127","105.35865093","162.9648"
"Alabama","Arkansas","Truck","816.3992","366.71404967","1429.1154"
"Alabama","California","Truck","513.9857","1129.74384242","1899.7117"
"Alabama","Colorado","Truck","168.0760","228.47040984","374.4030"
"Alabama","Connecticut","Truck","65.5342","72.61249868","206.5940"
"Alabama","Delaware","Truck","35.3344","31.46501425","77.4321"
"Alabama","Washington DC","Truck","1711.0200","1309.10062055","2769.4843"
"Alabama","Florida","Truck","7112.2972","3943.97847543","6285.8133"
"Alabama","Georgia","Truck","13779.6753","3128.20616656","15004.9343"
"Alabama","Idaho","Truck","28.6739","60.23641193","75.2337"
"Alabama","Illinois","Truck","1223.5368","765.26461460","2436.4071"
"Alabama","Indiana","Truck","1083.3583","636.11191808","2023.8234"
"Alabama","Iowa","Truck","191.8733","161.75446368","412.5107"
"Alabama","Kansas","Truck","170.5477","136.78010690","501.0825"
"Alabama","Kentucky","Truck","1102.8597","451.41184484","1551.7328"
"Alabama","Louisiana","Truck","1997.6618","767.04426558","2342.8579"
"Alabama","Maine","Truck","21.9576","30.43321647","63.3299"
"Alabama","Maryland","Truck","217.0634","174.93313864","601.1456"
"Alabama","Massachusetts","Truck","168.5716","204.39261618","377.2495"
"Alabama","Michigan","Truck","837.0935","654.58657158","2419.3969"
"Alabama","Minnesota","Truck","196.8326","214.58160711","491.9932"
"Alabama","Mississippi","Truck","12697.9520","2909.86705490","4790.6237"
"Alabama","Missouri","Truck","826.2439","511.76025699","1466.6017"
"Alabama","Montana","Truck","46.0759","92.61868733","39.6321"
"Alabama","Nebraska","Truck","69.0334","67.36813441","21.4936"
"Alabama","Nevada","Truck","40.7868","83.84671542","107.6330"
"Alabama","New Hampshire","Truck","12.7443","15.91459603","59.3168"
"Alabama","New Jersey","Truck","296.1291","281.02851589","822.5561"
"Alabama","New Mexico","Truck","15.6259","19.75781889","44.6760"
"Alabama","New York","Truck","328.8174","341.82539050","1201.4882"
"Alabama","North Carolina","Truck","1708.3436","859.33671797","3316.5881"
"Alabama","North Dakota","Truck","4.8706","6.89466981","9.5626"
"Alabama","Ohio","Truck","1508.8168","937.53415688","2805.9154"
