"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Missouri","Wood prods.","Truck","21.2051","13.05985121","11.7960"
"Alabama","Missouri","Nonmetal min. prods.","Truck","11.9109","7.36551328","6.1954"
"Alabama","Missouri","Machinery","Truck","19.3100","11.94947016","146.1499"
"Alabama","Montana","Wood prods.","Truck","2.7240","5.46930926","0.4411"
"Alabama","Montana","Nonmetal min. prods.","Truck","0.3520","0.70776860","0.4154"
"Alabama","Montana","Machinery","Truck","21.3330","42.90054874","10.7922"
"Alabama","Nebraska","Wood prods.","Truck","0.1560","0.15143284","0.0026"
"Alabama","Nebraska","Nonmetal min. prods.","Truck","0.3840","0.37364518","0.4270"
"Alabama","Nebraska","Machinery","Truck","1.0410","1.01326758","0.4373"
"Alabama","Nevada","Wood prods.","Truck","4.8640","10.00449160","0.4438"
"Alabama","Nevada","Nonmetal min. prods.","Truck","0.3740","0.76901123","0.4308"
"Alabama","Nevada","Machinery","Truck","0.3540","0.72784995","43.7464"
"Alabama","New Hampshire","Wood prods.","Truck","0.3350","0.41697724","0.4514"
"Alabama","New Hampshire","Machinery","Truck","0.0960","0.12008285","0.8721"
"Alabama","New Jersey","Wood prods.","Truck","12.0330","11.35414131","13.7488"
"Alabama","New Jersey","Nonmetal min. prods.","Truck","26.7170","25.32928545","0.6554"
"Alabama","New Jersey","Machinery","Truck","3.0470","2.89107995","18.5103"
"Alabama","New Mexico","Wood prods.","Truck","0.0050","0.00632434","0.0038"
"Alabama","New Mexico","Nonmetal min. prods.","Truck","0.3420","0.43265555","0.4399"
"Alabama","New Mexico","Machinery","Truck","0.3500","0.44273845","4.6414"
"Alabama","New York","Wood prods.","Truck","6.9110","7.17231107","13.5668"
"Alabama","New York","Nonmetal min. prods.","Truck","8.5060","8.80767593","7.9570"
"Alabama","New York","Machinery","Truck","13.8661","14.36538929","77.5651"
"Alabama","North Carolina","Wood prods.","Truck","99.7400","49.91137521","68.2348"
"Alabama","North Carolina","Nonmetal min. prods.","Truck","194.5062","98.10983934","69.3286"
"Alabama","North Carolina","Machinery","Truck","14.2731","7.31704950","73.8679"
"Alabama","North Dakota","Wood prods.","Truck","0.0400","0.05665922","0.1832"
"Alabama","North Dakota","Nonmetal min. prods.","Truck","0.1160","0.16623826","0.1523"
"Alabama","North Dakota","Machinery","Truck","0.1790","0.25334441","1.7853"
"Alabama","Ohio","Wood prods.","Truck","86.9600","53.58370524","50.7266"
"Alabama","Ohio","Nonmetal min. prods.","Truck","51.2730","31.88027289","46.0041"
"Alabama","Ohio","Machinery","Truck","12.6610","7.88204136","239.9840"
"Alabama","Oklahoma","Wood prods.","Truck","4.9680","3.53803140","5.7894"
"Alabama","Oklahoma","Nonmetal min. prods.","Truck","0.3600","0.25667316","0.4527"
"Alabama","Oklahoma","Machinery","Truck","5.2560","3.74820300","159.4621"
"Alabama","Oregon","Wood prods.","Truck","16.0380","41.14018891","10.7998"
"Alabama","Oregon","Nonmetal min. prods.","Truck","0.3460","0.88844601","0.4489"
"Alabama","Oregon","Machinery","Truck","0.4630","1.18883585","12.7878"
"Alabama","Pennsylvania","Wood prods.","Truck","27.8130","23.66233907","24.5022"
"Alabama","Pennsylvania","Nonmetal min. prods.","Truck","49.7180","42.17149087","0.2968"
"Alabama","Pennsylvania","Machinery","Truck","3.2750","2.80603331","54.2689"
"Alabama","Rhode Island","Wood prods.","Truck","0.3380","0.39847470","3.4573"
"Alabama","Rhode Island","Nonmetal min. prods.","Truck","0.3350","0.39667361","0.4412"
"Alabama","Rhode Island","Machinery","Truck","0.3360","0.39813636","0.4321"
"Alabama","South Carolina","Wood prods.","Truck","55.4453","19.73343515","32.0113"
"Alabama","South Carolina","Nonmetal min. prods.","Truck","182.9234","68.16375445","45.2812"
"Alabama","South Carolina","Machinery","Truck","41.4776","14.55201203","268.5115"
"Alabama","South Dakota","Wood prods.","Truck","0.3430","0.41666674","0.4283"
"Alabama","South Dakota","Machinery","Truck","0.3410","0.41505174","0.4193"
"Alabama","Tennessee","Wood prods.","Truck","544.5330","140.42586514","304.1884"
"Alabama","Tennessee","Nonmetal min. prods.","Truck","510.9199","134.74490413","143.6704"
"Alabama","Tennessee","Machinery","Truck","240.2497","64.23297492","1972.6209"
"Alabama","Texas","Wood prods.","Truck","138.1931","105.42718579","91.3437"
"Alabama","Texas","Nonmetal min. prods.","Truck","77.6093","58.68994791","59.3966"
"Alabama","Texas","Machinery","Truck","29.9320","22.66401947","291.8187"
"Alabama","Utah","Wood prods.","Truck","0.3500","0.63391963","0.4464"
"Alabama","Utah","Nonmetal min. prods.","Truck","0.3479","0.63011912","0.4232"
"Alabama","Utah","Machinery","Truck","0.3420","0.61945042","15.5935"
"Alabama","Vermont","Wood prods.","Truck","0.2970","0.37410833","0.3418"
"Alabama","Vermont","Machinery","Truck","0.3220","0.40716104","0.3715"
"Alabama","Virginia","Wood prods.","Truck","39.0328","26.99617758","21.5410"
"Alabama","Virginia","Nonmetal min. prods.","Truck","45.6465","32.46525911","13.2762"
