"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alaska","North Carolina","Truck","4.4596","19.4695526","5.3696","5.4022"
"Alaska","North Dakota","Truck","0.5497","1.55022581","0.6192","0.6228"
"Alaska","Ohio","Truck","3.7441","14.60937776","4.2991","4.3247"
"Alaska","Oklahoma","Truck","2.2861","8.77651223","3.6444","3.6579"
"Alaska","Oregon","Truck","9.02","22.84666449","10.7633","10.7188"
"Alaska","Pennsylvania","Truck","2.6428","11.13861555","3.6875","3.706"
"Alaska","Rhode Island","Truck","0.2013","0.91622974","0.2224","0.2238"
"Alaska","South Carolina","Truck","2.4066","10.59748821","2.8482","2.8657"
"Alaska","South Dakota","Truck","0.4226","1.30706172","0.4651","0.4679"
"Alaska","Tennessee","Truck","2.6158","10.62674445","3.4273","3.4463"
"Alaska","Texas","Truck","12.0698","49.57421446","13.9068","13.9924"
"Alaska","Utah","Truck","2.378","7.17618301","2.6038","2.6199"
"Alaska","Vermont","Truck","0.1576","0.70767","0.1719","0.1729"
"Alaska","Virginia","Truck","6.4434","27.91181366","7.7109","7.7579"
"Alaska","Washington","Truck","173.5282","403.70236181","105.1697","105.0738"
"Alaska","West Virginia","Truck","0.5006","2.05218","0.5896","0.5932"
"Alaska","Wisconsin","Truck","1.9228","6.59721659","2.0795","2.0914"
"Alaska","Wyoming","Truck","1.5686","4.48000192","1.6469","1.6386"
"Arizona","Alabama","Truck","54.4955000000001","92.2832999300001","125.2593","125.4538"
"Arizona","Alaska","Truck","2.2818","8.27970573","213.7815","214.9049"
"Arizona","Arizona","Truck","221700.8195","17342.13841428","134408.2708","134651.0357"
"Arizona","Arkansas","Truck","78.0114","102.05403843","621.2572","624.2347"
"Arizona","California","Truck","7017.7009","3375.77016868","12907.5663","12952.6488"
"Arizona","Colorado","Truck","792.644700000001","632.362481069999","1317.7719","1323.2321"
"Arizona","Connecticut","Truck","4.4332","11.34461022","390.487399999999","396.850899999999"
"Arizona","Delaware","Truck","3.0686","7.25816257","27.6754","27.778"
"Arizona","Washington DC","Truck","0.6281","1.45379971","26.1802","26.3304"
"Arizona","Florida","Truck","74.2272000000002","161.35045263","566.880399999998","571.185799999997"
"Arizona","Georgia","Truck","141.3695","262.10914238","273.9775","274.946599999999"
"Arizona","Idaho","Truck","51.5956","52.49745847","116.391","116.7962"
"Arizona","Illinois","Truck","296.9077","512.20568368","694.592499999997","697.620699999997"
"Arizona","Indiana","Truck","53.8005","94.677001","1252.3821","1258.0028"
"Arizona","Iowa","Truck","166.6273","266.24940157","970.5356","969.8018"
"Arizona","Kansas","Truck","23.2279","28.98467959","273.0956","274.3256"
"Arizona","Kentucky","Truck","139.4388","247.96773927","2110.18790000001","2121.4014"
"Arizona","Louisiana","Truck","101.2601","147.37266293","199.2099","198.7703"
"Arizona","Maine","Truck","1.819","5.15064525","5.8069","5.8352"
"Arizona","Maryland","Truck","18.3137","42.70281193","70.9001000000002","71.1511000000002"
"Arizona","Massachusetts","Truck","14.7986","39.52641595","94.5180000000001","94.9308000000001"
"Arizona","Michigan","Truck","54.7453000000001","108.28052519","377.200699999999","378.648599999999"
"Arizona","Minnesota","Truck","35.8867","63.7163341","328.967699999999","330.274699999999"
"Arizona","Mississippi","Truck","5.335","8.04522135","18.4103","18.4896"
"Arizona","Missouri","Truck","120.1173","167.22959304","279.3926","279.9582"
"Arizona","Montana","Truck","30.0802","36.49301472","89.1716000000001","89.7809000000001"
"Arizona","Nebraska","Truck","17.0846","22.39007306","67.1355000000001","68.0287"
"Arizona","Nevada","Truck","2545.2536","886.56520753","3619.8942","3637.0384"
"Arizona","New Hampshire","Truck","2.341","6.26004437","6.7012","6.7804"
"Arizona","New Jersey","Truck","37.9435000000001","92.3088034600001","220.5171","221.3578"
"Arizona","New Mexico","Truck","2805.3557","1325.28455939","5695.185","5714.5679"
"Arizona","New York","Truck","93.8650000000004","223.19206162","329.6191","331.604899999999"
"Arizona","North Carolina","Truck","77.7245000000002","166.15474573","618.469899999998","619.984799999998"
"Arizona","North Dakota","Truck","18.1336","29.91998617","75.0241000000001","75.3631000000001"
"Arizona","Ohio","Truck","175.823000000001","350.011073339999","671.173499999997","675.937699999997"
"Arizona","Oklahoma","Truck","51.4467000000001","52.79701744","356.7087","358.5023"
"Arizona","Oregon","Truck","117.0846","150.7990426","679.703799999999","682.460699999999"
"Arizona","Pennsylvania","Truck","202.446900000001","471.60140852","444.963999999999","445.957699999999"
"Arizona","Rhode Island","Truck","2.8177","7.30329723","12.1722","12.1522"
"Arizona","South Carolina","Truck","40.0459","82.00321716","182.7855","183.6255"
"Arizona","South Dakota","Truck","15.2482","22.03316959","28.3655","28.4658"
"Arizona","Tennessee","Truck","84.7617000000002","140.27626918","130.9371","131.214"
"Arizona","Texas","Truck","1406.6656","1138.51279948","4789.77630000002","4805.88540000004"
"Arizona","Utah","Truck","1190.6039","769.0951949","1648.4502","1652.8749"
"Arizona","Vermont","Truck","1.5553","4.08672341","30.8664","31.0336"
"Arizona","Virginia","Truck","28.642","64.48477821","183.8029","184.0799"
"Arizona","Washington","Truck","186.3723","274.30284218","1112.4449","1117.4877"
"Arizona","West Virginia","Truck","10.3389","20.80069807","286.1626","285.6108"
"Arizona","Wisconsin","Truck","105.3948","199.77500077","322.5519","323.6692"
"Arizona","Wyoming","Truck","36.1968","35.93996206","102.3462","102.9669"
"Arkansas","Alabama","Truck","1182.1376","526.79976149","1669.1331","1674.9967"
"Arkansas","Alaska","Truck","1.2506","4.89362957","4.2078","4.2291"
"Arkansas","Arizona","Truck","202.7078","265.71398002","382.3808","383.7734"
"Arkansas","Arkansas","Truck","126648.6397","11992.86426338","51843.7201","51878.6463"
"Arkansas","California","Truck","979.906199999999","1670.2349717","2764.8505","2774.3085"
"Arkansas","Colorado","Truck","259.6267","248.57497764","423.7754","424.9806"
"Arkansas","Connecticut","Truck","36.7221","50.42299383","129.7083","130.0445"
"Arkansas","Delaware","Truck","50.9056","58.57334488","51.5732","51.744"
"Arkansas","Washington DC","Truck","0.7888","0.83288833","3.4896","3.486"
"Arkansas","Florida","Truck","666.4064","662.30454198","1774.7071","1780.7736"
"Arkansas","Georgia","Truck","929.0066","579.97967668","1804.9172","1810.6337"
"Arkansas","Idaho","Truck","33.9559","58.98443156","79.6837","79.6275"
"Arkansas","Illinois","Truck","1569.04","903.59373576","1995.6158","2003.8694"
