"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Alabama","Cereal grains","Truck","13943.4073","1313.30690449","411.0534"
"Alabama","Alabama","Cereal grains","Rail","605.5079","67.04236201","7.6986"
"Alabama","Alabama","Cereal grains","Water","557.3630","158.98477556","26.4193"
"Alabama","Alabama","Cereal grains","Multiple modes & mail","33.5020","3.93360576","0.0813"
"Alabama","Alabama","Cereal grains","Other and unknown","454.3100","48.79933332","10.4878"
"Alabama","Arkansas","Cereal grains","Truck","1.6604","0.76966458","0.1077"
"Alabama","Arkansas","Cereal grains","Rail","0.7950","0.40632385","0.0039"
"Alabama","Connecticut","Cereal grains","Rail","0.0081","0.01153036","0.0309"
"Alabama","Florida","Cereal grains","Truck","52.9209","27.66202443","3.4280"
"Alabama","Florida","Cereal grains","Rail","82.8529","53.82990420","0.2875"
"Alabama","Florida","Cereal grains","Water","26.9210","31.03443432","0.0874"
"Alabama","Florida","Cereal grains","Other and unknown","0.2030","0.12843942","0.0013"
"Alabama","Georgia","Cereal grains","Truck","498.3480","118.10617242","32.5946"
"Alabama","Georgia","Cereal grains","Rail","0.2260","0.06346877","0.6321"
"Alabama","Georgia","Cereal grains","Other and unknown","0.0020","0.00052155","0.0077"
"Alabama","Idaho","Cereal grains","Rail","0.7640","1.71047757","0.0026"
"Alabama","Illinois","Cereal grains","Truck","0.0003","0.00019023","0.0000"
"Alabama","Illinois","Cereal grains","Rail","0.3510","0.24152043","0.0078"
"Alabama","Indiana","Cereal grains","Truck","0.0013","0.00077277","0.0001"
"Alabama","Iowa","Cereal grains","Rail","0.5300","0.52043313","0.0026"
"Alabama","Kentucky","Cereal grains","Truck","3.7835","1.62975646","0.2457"
"Alabama","Louisiana","Cereal grains","Truck","11.7231","4.70523699","0.7613"
"Alabama","Louisiana","Cereal grains","Rail","0.1699","0.06676818","0.0243"
"Alabama","Louisiana","Cereal grains","Water","0.2121","0.11542456","0.0180"
"Alabama","Louisiana","Cereal grains","Other and unknown","0.0220","0.00819686","0.0013"
"Alabama","Minnesota","Cereal grains","Rail","0.0190","0.02291025","0.0026"
"Alabama","Mississippi","Cereal grains","Truck","572.8812","129.91409008","37.5150"
"Alabama","Mississippi","Cereal grains","Rail","14.5410","3.93150004","5.9947"
"Alabama","Mississippi","Cereal grains","Water","2.3540","1.27955851","0.0349"
"Alabama","Mississippi","Cereal grains","Multiple modes & mail","0.3850","0.10760144","0.0026"
"Alabama","Mississippi","Cereal grains","Other and unknown","0.2580","0.06727780","0.0271"
"Alabama","Missouri","Cereal grains","Truck","0.0004","0.00024920","0.0000"
"Alabama","North Carolina","Cereal grains","Truck","0.0013","0.00070188","0.0001"
"Alabama","North Carolina","Cereal grains","Rail","0.0240","0.01393740","0.0721"
"Alabama","North Dakota","Cereal grains","Rail","0.3080","0.46086939","0.0078"
"Alabama","Ohio","Cereal grains","Rail","0.3900","0.27155811","0.0325"
"Alabama","Ohio","Cereal grains","Other and unknown","0.4160","0.28272006","0.0325"
"Alabama","Oregon","Cereal grains","Rail","0.3020","0.85153583","0.0052"
"Alabama","South Carolina","Cereal grains","Truck","1.2839","0.58426487","0.0835"
"Alabama","South Carolina","Cereal grains","Rail","0.0281","0.01229536","0.1005"
"Alabama","Tennessee","Cereal grains","Truck","242.6670","68.25157328","19.1506"
"Alabama","Tennessee","Cereal grains","Rail","34.7530","10.47381114","9.9885"
"Alabama","Tennessee","Cereal grains","Water","0.0330","0.02536878","0.0501"
"Alabama","Tennessee","Cereal grains","Other and unknown","0.3680","0.10462167","0.1330"
"Alabama","Texas","Cereal grains","Rail","0.6430","0.52844350","0.0594"
"Alabama","Virginia","Cereal grains","Truck","0.0000","0.00000000","0.0000"
"Alabama","Washington","Cereal grains","Rail","0.2200","0.62760637","0.0013"
"Alabama","West Virginia","Cereal grains","Rail","0.0160","0.01302007","0.0323"
"Alaska","Alaska","Cereal grains","Truck","723.3936","238.39887349","46.8855"
"Arizona","Arizona","Cereal grains","Truck","708.5214","82.20986968","45.4731"
"Arizona","Arizona","Cereal grains","Other and unknown","72.8230","3.95835031","0.3212"
"Arizona","California","Cereal grains","Truck","22.5363","9.72339462","1.8574"
"Arizona","California","Cereal grains","Other and unknown","23.1350","13.53701396","0.1818"
"Arizona","Colorado","Cereal grains","Truck","0.0003","0.00022819","0.0000"
"Arizona","Nevada","Cereal grains","Truck","0.0444","0.01312007","0.0054"
"Arizona","New Mexico","Cereal grains","Truck","2.8495","1.25621670","0.1850"
"Arizona","Texas","Cereal grains","Truck","0.0002","0.00020830","0.0000"
"Arizona","Texas","Cereal grains","Rail","58.1721","65.30911197","0.3534"
"Arizona","Texas","Cereal grains","Other and unknown","0.2300","0.28700224","0.0013"
"Arizona","Utah","Cereal grains","Truck","0.0004","0.00021980","0.0001"
"Arkansas","Alabama","Cereal grains","Truck","10.2855","4.63855482","1.0483"
"Arkansas","Alabama","Cereal grains","Rail","0.0460","0.02217540","0.0284"
