"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Mississippi","Wood prods.","Truck","801.2014","180.44427773","234.3126"
"Alabama","Mississippi","Nonmetal min. prods.","Truck","1330.5574","286.26638469","169.3871"
"Alabama","Mississippi","Machinery","Truck","18.1846","4.07982129","132.6448"
"Alabama","Missouri","Wood prods.","Truck","55.9468","31.99494979","16.3403"
"Alabama","Missouri","Nonmetal min. prods.","Truck","45.8402","29.80801384","19.5946"
"Alabama","Missouri","Machinery","Truck","2.6923","1.6559784","21.5967"
"Alabama","Montana","Wood prods.","Truck","9.9467","20.35152315","2.0299"
"Alabama","Montana","Nonmetal min. prods.","Truck","3.0004","6.13899183","2.0162"
"Alabama","Montana","Machinery","Truck","1.1787","2.36218793","6.5107"
"Alabama","Nebraska","Wood prods.","Truck","8.7906","9.02679591","5.8917"
"Alabama","Nebraska","Nonmetal min. prods.","Truck","0.3691","0.3588035","0.9963"
"Alabama","Nebraska","Machinery","Truck","4.0349","3.96397782","38.6329"
"Alabama","Nevada","Wood prods.","Truck","0.0001","0.0001848","0"
"Alabama","Nevada","Nonmetal min. prods.","Truck","0.1046","0.19329403","0.9584"
"Alabama","Nevada","Machinery","Truck","0.7072","1.30689164","1.1625"
"Alabama","New Hampshire","Wood prods.","Truck","5.9467","8.70951888","4.0401"
"Alabama","New Hampshire","Nonmetal min. prods.","Truck","0.0006","0.00076982","0.0001"
"Alabama","New Hampshire","Machinery","Truck","1.0318","1.29478476","31.889"
"Alabama","New Jersey","Wood prods.","Truck","4.1189","3.93458283","3.0346"
"Alabama","New Jersey","Nonmetal min. prods.","Truck","0.4556","0.44426576","3.6058"
"Alabama","New Jersey","Machinery","Truck","2.4259","2.33506865","11.2003"
"Alabama","New Mexico","Wood prods.","Truck","1.9032","2.42675425","0.0313"
"Alabama","New Mexico","Nonmetal min. prods.","Truck","0.0011","0.00139582","0.0001"
"Alabama","New Mexico","Machinery","Truck","0.0005","0.00063404","0.004"
"Alabama","New York","Wood prods.","Truck","14.1872","14.61419767","15.9431"
"Alabama","New York","Nonmetal min. prods.","Truck","9.1567","9.25322134","12.3062"
"Alabama","New York","Machinery","Truck","1.913","1.98791647","12.8856"
"Alabama","North Carolina","Wood prods.","Truck","211.8579","104.35119539","181.7741"
"Alabama","North Carolina","Nonmetal min. prods.","Truck","310.5646","162.41383365","119.8073"
"Alabama","North Carolina","Machinery","Truck","28.4367","14.9629154","126.4392"
"Alabama","North Dakota","Wood prods.","Truck","0","0","0"
"Alabama","North Dakota","Nonmetal min. prods.","Truck","0.0001","0.00014292","0"
"Alabama","North Dakota","Machinery","Truck","0.9586","1.36313153","7.2702"
"Alabama","Ohio","Wood prods.","Truck","102.5371","64.79604719","37.9914"
"Alabama","Ohio","Nonmetal min. prods.","Truck","94.2965","58.32162326","116.3403"
"Alabama","Ohio","Machinery","Truck","109.5854","74.53351584","441.4615"
"Alabama","Oklahoma","Wood prods.","Truck","4.0012","2.94795195","4.961"
"Alabama","Oklahoma","Nonmetal min. prods.","Truck","52.1369","38.5620902","39.6981"
"Alabama","Oklahoma","Machinery","Truck","7.8753","5.75909976","45.2777"
"Alabama","Oregon","Wood prods.","Truck","14.5679","37.36742536","5.9889"
"Alabama","Oregon","Nonmetal min. prods.","Truck","0","0","0"
"Alabama","Oregon","Machinery","Truck","0.0297","0.07613596","3.2145"
"Alabama","Pennsylvania","Wood prods.","Truck","49.3081","42.93245394","78.3401"
