"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alaska","Virginia","Truck","1.9831","8.62325314","3.1757"
"Alaska","Washington","Truck","260.1693","627.07231755","109.1267"
"Alaska","West Virginia","Truck","0.2999","1.22285384","0.6208"
"Alaska","Wisconsin","Truck","1.1590","3.94437252","2.3127"
"Alaska","Wyoming","Truck","0.5570","1.62425706","0.5492"
"Arizona","Alabama","Truck","170.2270","290.61019908","80.6851"
"Arizona","Alaska","Truck","6.2173","22.69133425","1.2649"
"Arizona","Arizona","Truck","102508.4788","7903.04616572","89643.6041"
"Arizona","Arkansas","Truck","376.1383","498.51421485","717.9749"
"Arizona","California","Truck","3929.4511","1992.66705938","8983.1471"
"Arizona","Colorado","Truck","477.6441","386.31445747","657.6583"
"Arizona","Connecticut","Truck","3.9031","9.93005728","43.7144"
"Arizona","Delaware","Truck","3.4830","8.29496274","110.3067"
"Arizona","Washington DC","Truck","0.3551","0.81961170","0.9907"
"Arizona","Florida","Truck","44.5993","97.48266686","564.9427"
"Arizona","Georgia","Truck","35.5953","66.56311062","475.8700"
"Arizona","Idaho","Truck","62.8347","62.73483476","77.3778"
"Arizona","Illinois","Truck","77.4265","136.20161767","654.1991"
"Arizona","Indiana","Truck","24.2100","43.22022308","1178.5442"
"Arizona","Iowa","Truck","59.8302","96.13858068","250.0424"
"Arizona","Kansas","Truck","26.1114","31.73731595","241.9846"
"Arizona","Kentucky","Truck","18.5980","33.39344708","385.6953"
"Arizona","Louisiana","Truck","11.4129","15.89443749","62.9812"
"Arizona","Maine","Truck","1.6900","4.77844637","32.3645"
"Arizona","Maryland","Truck","5.8812","13.69087573","181.5277"
"Arizona","Massachusetts","Truck","10.0550","26.87742670","199.0462"
"Arizona","Michigan","Truck","44.5721","90.18896166","501.0002"
"Arizona","Minnesota","Truck","44.5752","79.57036544","180.7504"
"Arizona","Mississippi","Truck","24.5356","37.51400659","33.9228"
"Arizona","Missouri","Truck","22.1428","30.94201773","333.1921"
"Arizona","Montana","Truck","68.0565","82.56022822","58.3626"
"Arizona","Nebraska","Truck","23.3273","30.36743830","26.8176"
"Arizona","Nevada","Truck","3673.4535","1113.95235965","6026.0221"
"Arizona","New Hampshire","Truck","2.7999","7.50815500","13.4420"
"Arizona","New Jersey","Truck","49.1539","119.65393343","107.0292"
"Arizona","New Mexico","Truck","3142.6919","1516.24945232","4494.8167"
"Arizona","New York","Truck","456.1047","1041.87968012","346.0662"
"Arizona","North Carolina","Truck","74.8131","159.76862705","500.0762"
"Arizona","North Dakota","Truck","9.9560","16.50355911","92.9473"
"Arizona","Ohio","Truck","64.0091","127.48795623","438.6850"
"Arizona","Oklahoma","Truck","34.9449","35.99620770","166.4279"
"Arizona","Oregon","Truck","233.6093","300.01829333","424.3457"
"Arizona","Pennsylvania","Truck","50.1064","114.13113364","357.3433"
"Arizona","Rhode Island","Truck","1.5629","4.12356472","45.9166"
"Arizona","South Carolina","Truck","19.3853","40.54008340","61.8667"
"Arizona","South Dakota","Truck","12.0264","17.45185424","6.6060"
"Arizona","Tennessee","Truck","13.9954","23.11172059","121.5876"
"Arizona","Texas","Truck","1004.2547","1023.10972796","3582.3708"
"Arizona","Utah","Truck","255.6217","160.87172612","399.2533"
"Arizona","Vermont","Truck","2.7003","7.09366702","1.0929"
"Arizona","Virginia","Truck","16.0330","36.59895779","160.9456"
"Arizona","Washington","Truck","109.9944","163.08734842","984.7393"
"Arizona","West Virginia","Truck","9.9389","20.63720564","112.8389"
"Arizona","Wisconsin","Truck","96.9321","182.91666892","287.1098"
"Arizona","Wyoming","Truck","5.9103","5.76269371","13.1424"
"Arkansas","Alabama","Truck","1256.6234","564.50801245","1711.0581"
"Arkansas","Alaska","Truck","80.2692","312.36214462","180.4357"
"Arkansas","Arizona","Truck","726.5896","943.83785319","490.9061"
"Arkansas","Arkansas","Truck","94531.0557","8576.59202467","45078.2565"
"Arkansas","California","Truck","1224.5494","2142.17832772","4115.9933"
"Arkansas","Colorado","Truck","424.6175","403.36832084","1568.6554"
"Arkansas","Connecticut","Truck","163.9417","227.97753075","367.5096"
"Arkansas","Delaware","Truck","13.8630","16.16529933","35.4993"
"Arkansas","Washington DC","Truck","0.8466","0.88808644","11.9721"
"Arkansas","Florida","Truck","992.2700","949.88279312","2182.6429"
"Arkansas","Georgia","Truck","1127.3345","693.57045205","1706.4942"
"Arkansas","Idaho","Truck","29.5775","53.24656957","107.4550"
"Arkansas","Illinois","Truck","1249.8184","722.67189244","2941.4491"
"Arkansas","Indiana","Truck","826.6482","508.05627595","1823.9292"
"Arkansas","Iowa","Truck","265.6140","161.33708609","522.6894"
"Arkansas","Kansas","Truck","871.4740","348.19190737","1897.6167"
"Arkansas","Kentucky","Truck","530.3555","292.50952290","1281.3317"
"Arkansas","Louisiana","Truck","7287.7615","2662.14238398","3330.8804"
"Arkansas","Maine","Truck","32.9771","54.49185439","201.6519"
"Arkansas","Maryland","Truck","111.9103","122.20527146","453.4071"
"Arkansas","Massachusetts","Truck","99.8613","147.08090724","378.8326"
"Arkansas","Michigan","Truck","361.3918","312.60414785","801.4905"
"Arkansas","Minnesota","Truck","314.0945","258.48239878","1304.3834"
"Arkansas","Mississippi","Truck","3450.0138","1150.17273207","4956.4672"
"Arkansas","Missouri","Truck","5343.7335","1681.46795038","7266.2082"
"Arkansas","Montana","Truck","11.9191","20.24223391","46.1219"
"Arkansas","Nebraska","Truck","882.2892","543.21814737","576.8665"
"Arkansas","Nevada","Truck","66.1624","104.52343365","224.0467"
"Arkansas","New Hampshire","Truck","181.4518","275.46322894","64.1580"
"Arkansas","New Jersey","Truck","720.2977","891.94468957","573.5399"
"Arkansas","New Mexico","Truck","46.4470","41.15825964","139.5890"
"Arkansas","New York","Truck","459.4582","578.28575761","1605.9845"
"Arkansas","North Carolina","Truck","468.5815","405.79556432","1412.0450"
"Arkansas","North Dakota","Truck","13.7952","15.08366036","28.8991"
"Arkansas","Ohio","Truck","1624.3862","1290.08089117","2449.3276"
"Arkansas","Oklahoma","Truck","4688.4454","1431.64068647","5622.2605"
"Arkansas","Oregon","Truck","102.0873","226.45281097","292.7911"
"Arkansas","Pennsylvania","Truck","658.6642","715.45894687","1781.5007"
"Arkansas","Rhode Island","Truck","18.0849","26.40571500","26.1518"
"Arkansas","South Carolina","Truck","339.4283","277.06245791","777.1638"
"Arkansas","South Dakota","Truck","30.5245","26.78649936","71.4610"
"Arkansas","Tennessee","Truck","4097.3797","1252.58539645","7774.8024"
"Arkansas","Texas","Truck","8220.6418","3891.41142018","9579.9510"
"Arkansas","Utah","Truck","101.6469","145.50835200","944.5726"
"Arkansas","Vermont","Truck","20.1634","29.27710207","31.6371"
"Arkansas","Virginia","Truck","383.1593","380.11597892","1829.4482"
"Arkansas","Washington","Truck","294.5029","657.12614751","712.9598"
"Arkansas","West Virginia","Truck","81.8853","68.45709174","175.2167"
"Arkansas","Wisconsin","Truck","499.9172","401.17435137","1121.7587"
"Arkansas","Wyoming","Truck","43.6980","54.49408409","31.3347"
"California","Alabama","Truck","338.6690","718.80445300","1197.6694"
"California","Alaska","Truck","56.1949","188.25788786","40.2552"
"California","Arizona","Truck","8108.2195","3748.60681800","14548.4465"
"California","Arkansas","Truck","383.3593","666.20469028","3002.1368"
"California","California","Truck","969656.2574","92150.84565972","682733.0456"
"California","Colorado","Truck","1766.6598","1942.22124364","6120.3193"
"California","Connecticut","Truck","232.4768","682.18832074","968.3349"
"California","Delaware","Truck","110.6728","303.27604505","511.0510"
"California","Washington DC","Truck","35.7733","96.55461902","162.7531"
"California","Florida","Truck","1350.5418","3570.46548633","7927.9148"
"California","Georgia","Truck","977.1923","2296.46686059","4285.7233"
"California","Idaho","Truck","1230.6130","1026.30880892","1598.9562"
"California","Illinois","Truck","2627.6511","5281.16608842","8611.3885"
"California","Indiana","Truck","806.5776","1733.64986017","5850.7246"
"California","Iowa","Truck","345.6726","620.67378531","2302.5691"
"California","Kansas","Truck","494.1457","763.02552799","1535.3783"
"California","Kentucky","Truck","1482.8094","3270.50634654","3084.8266"
